District,Year,Enrollment
Barbour,2011,2499.0
Barbour,2012,2455.0
Barbour,2013,2441.0
Barbour,2014,2454.0
Barbour,2015,2449.0
Barbour,2016,2392.0
Barbour,2017,2324.0
Barbour,2018,2300.0
Barbour,2019,2326.0
Barbour,2020,2259.0
Barbour,2021,2135.0
Barbour,2022,2135.0
Barbour,2023,2147.0
Barbour,2024,2079.0
Barbour,2025,1966.0
Barbour,2026,1907.0
Berkeley,2011,17720.0
Berkeley,2012,18002.0
Berkeley,2013,18171.0
Berkeley,2014,18221.0
Berkeley,2015,18668.0
Berkeley,2016,18877.0
Berkeley,2017,19000.0
Berkeley,2018,19294.0
Berkeley,2019,19471.0
Berkeley,2020,19654.0
Berkeley,2021,19254.0
Berkeley,2022,19679.0
Berkeley,2023,19821.0
Berkeley,2024,19845.0
Berkeley,2025,19947.0
Berkeley,2026,19787.0
Boone,2011,4545.0
Boone,2012,4553.0
Boone,2013,4526.0
Boone,2014,4541.0
Boone,2015,4449.0
Boone,2016,4331.0
Boone,2017,4178.0
Boone,2018,4010.0
Boone,2019,3839.0
Boone,2020,3669.0
Boone,2021,3335.0
Boone,2022,3175.0
Boone,2023,3183.0
Boone,2024,3094.0
Boone,2025,3048.0
Boone,2026,2866.0
Braxton,2011,2220.0
Braxton,2012,2157.0
Braxton,2013,2156.0
Braxton,2014,2128.0
Braxton,2015,2127.0
Braxton,2016,2100.0
Braxton,2017,2039.0
Braxton,2018,1999.0
Braxton,2019,1975.0
Braxton,2020,1907.0
Braxton,2021,1736.0
Braxton,2022,1722.0
Braxton,2023,1692.0
Braxton,2024,1656.0
Braxton,2025,1567.0
Braxton,2026,1514.0
Brooke,2011,3363.0
Brooke,2012,3314.0
Brooke,2013,3332.0
Brooke,2014,3246.0
Brooke,2015,3131.0
Brooke,2016,3106.0
Brooke,2017,2965.0
Brooke,2018,2935.0
Brooke,2019,2830.0
Brooke,2020,2681.0
Brooke,2021,2585.0
Brooke,2022,2575.0
Brooke,2023,2476.0
Brooke,2024,2336.0
Brooke,2025,2206.0
Brooke,2026,2160.0
Cabell,2011,12700.0
Cabell,2012,12880.0
Cabell,2013,12979.0
Cabell,2014,13085.0
Cabell,2015,13204.0
Cabell,2016,13022.0
Cabell,2017,12868.0
Cabell,2018,12739.0
Cabell,2019,12434.0
Cabell,2020,12111.0
Cabell,2021,11860.0
Cabell,2022,11645.0
Cabell,2023,11555.0
Cabell,2024,11417.0
Cabell,2025,11164.0
Cabell,2026,10953.0
Calhoun,2011,1122.0
Calhoun,2012,1137.0
Calhoun,2013,1083.0
Calhoun,2014,1069.0
Calhoun,2015,1066.0
Calhoun,2016,1059.0
Calhoun,2017,1051.0
Calhoun,2018,1028.0
Calhoun,2019,962.0
Calhoun,2020,926.0
Calhoun,2021,882.0
Calhoun,2022,857.0
Calhoun,2023,863.0
Calhoun,2024,829.0
Calhoun,2025,789.0
Calhoun,2026,762.0
Clay,2011,2071.0
Clay,2012,2047.0
Clay,2013,2060.0
Clay,2014,1975.0
Clay,2015,1978.0
Clay,2016,1999.0
Clay,2017,1938.0
Clay,2018,1922.0
Clay,2019,1859.0
Clay,2020,1790.0
Clay,2021,1739.0
Clay,2022,1654.0
Clay,2023,1614.0
Clay,2024,1510.0
Clay,2025,1412.0
Clay,2026,1338.0
Doddridge,2011,1169.0
Doddridge,2012,1146.0
Doddridge,2013,1161.0
Doddridge,2014,1159.0
Doddridge,2015,1160.0
Doddridge,2016,1184.0
Doddridge,2017,1180.0
Doddridge,2018,1116.0
Doddridge,2019,1119.0
Doddridge,2020,1118.0
Doddridge,2021,1099.0
Doddridge,2022,1079.0
Doddridge,2023,1114.0
Doddridge,2024,1156.0
Doddridge,2025,1203.0
Doddridge,2026,1220.0
Fayette,2011,6827.0
Fayette,2012,6874.0
Fayette,2013,6867.0
Fayette,2014,6810.0
Fayette,2015,6788.0
Fayette,2016,6661.0
Fayette,2017,6487.0
Fayette,2018,6365.0
Fayette,2019,6143.0
Fayette,2020,5969.0
Fayette,2021,5657.0
Fayette,2022,5516.0
Fayette,2023,5542.0
Fayette,2024,5359.0
Fayette,2025,5215.0
Fayette,2026,5024.0
Gilmer,2011,943.0
Gilmer,2012,933.0
Gilmer,2013,945.0
Gilmer,2014,903.0
Gilmer,2015,904.0
Gilmer,2016,848.0
Gilmer,2017,838.0
Gilmer,2018,797.0
Gilmer,2019,811.0
Gilmer,2020,805.0
Gilmer,2021,773.0
