District,enr_start,enr_end,pct_change,n_closed
Barbour,2499.0,1907.0,-23.689475790316123,2
Berkeley,17720.0,19787.0,11.664785553047404,0
Boone,4545.0,2866.0,-36.94169416941694,3
Braxton,2220.0,1514.0,-31.801801801801805,0
Brooke,3363.0,2160.0,-35.77163247100803,9
Cabell,12700.0,10953.0,-13.755905511811022,4
Calhoun,1122.0,762.0,-32.0855614973262,0
Clay,2071.0,1338.0,-35.39352969579913,2
Doddridge,1169.0,1220.0,4.362703165098375,0
Fayette,6827.0,5024.0,-26.409843269371613,15
Gilmer,943.0,712.0,-24.496288441145282,4
Grant,1887.0,1570.0,-16.79915209326974,1
Greenbrier,5247.0,4210.0,-19.763674480655613,0
Hampshire,3590.0,2659.0,-25.933147632311975,5
Hancock,4308.0,3275.0,-23.978644382544104,3
Hardy,2297.0,2154.0,-6.225511536787113,0
Harrison,11128.0,8917.0,-19.868799424874194,8
Jackson,5046.0,3894.0,-22.829964328180736,0
Jefferson,8845.0,8213.0,-7.14527981910684,1
Kanawha,28458.0,22098.0,-22.348724436010965,13
Lewis,2605.0,2142.0,-17.773512476007678,1
Lincoln,3679.0,2638.0,-28.295732536015223,3
Logan,6449.0,4343.0,-32.656225771437434,2
Marion,8104.0,6903.0,-14.819842053307008,0
Marshall,4778.0,3992.0,-16.45039765592298,0
Mason,4381.0,3462.0,-20.976945902761926,0
McDowell,3559.0,2089.0,-41.30373700477662,4
Mercer,9611.0,7903.0,-17.771303714493808,4
Mineral,4373.0,3884.0,-11.182254745026297,4
Mingo,4573.0,3253.0,-28.86507762956484,9
Monongalia,10731.0,11050.0,2.972695927686143,2
Monroe,1921.0,1548.0,-19.416970327954193,0
Morgan,2617.0,2062.0,-21.207489491784486,1
Nicholas,4076.0,3002.0,-26.34936211972522,4
Ohio,5370.0,4554.0,-15.195530726256983,1
Pendleton,1065.0,843.0,-20.845070422535212,0
Pleasants,1278.0,1011.0,-20.89201877934272,0
Pocahontas,1183.0,833.0,-29.585798816568047,0
Preston,4600.0,3549.0,-22.84782608695652,6
Putnam,9631.0,8355.0,-13.248883812688195,0
Raleigh,12372.0,10081.0,-18.51762043323634,3
Randolph,4294.0,3353.0,-21.914299021891008,3
Ritchie,1578.0,1111.0,-29.594423320659065,1
Roane,2505.0,1545.0,-38.32335329341318,1
Summers,1551.0,1053.0,-32.10831721470019,2
Taylor,2395.0,2013.0,-15.949895615866389,0
Tucker,1053.0,906.0,-13.96011396011396,0
Tyler,1419.0,1224.0,-13.742071881606766,0
Upshur,3867.0,3194.0,-17.403672097233,0
Wayne,7448.0,5679.0,-23.751342642320086,6
Webster,1534.0,990.0,-35.462842242503264,2
Wetzel,2844.0,1979.0,-30.414908579465543,5
Wirt,1010.0,831.0,-17.722772277227723,0
Wood,13462.0,10789.0,-19.855890655177536,5
Wyoming,4229.0,3133.0,-25.916292267675573,0
