School,SchlID,last_reported_type,inferred_type,Enrollment,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,elementary_enrollment,elementary_middle_enrollment,middle_enrollment,high_enrollment,elementary_pct,elementary_middle_pct,middle_pct,high_pct,has_grade78,has_lower_elem,has_high_grades,inferred_grade_type,final_type,final_type_note
KASSON ELEMENTARY/MIDDLE SCHOOL,002101,Middle,elementary + middle,192.75,16.6875,20.8125,19.75,19.4375,19.9375,20.625,20.0625,19.4375,18.4375,17.5625,0,0,0,0,156.75,192.75,75.5,0,0.8132295719844358,1,0.3916990920881971,0,TRUE,TRUE,FALSE,elementary_middle,elementary_middle,last_reported=Middle but inferred_grade_type=elementary_middle; corrected to elementary_middle
BELINGTON ELEMENTARY,002201,Elementary,elementary,309.5625,30.0625,53.5625,53.5,54.375,52.5625,52.1875,13.3125,0,0,0,0,0,0,0,309.5625,309.5625,13.3125,0,1,1,0.04300424,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
JUNIOR ELEMENTARY,002202,Elementary,elementary,112.875,23.0625,18.0625,17.375,16.8125,16.875,16.875,3.8125,0,0,0,0,0,0,0,112.875,112.875,3.8125,0,1,1,0.033776301,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
MOUNT VERNON ELEMENTARY,002203,,elementary,63.57142857142857,0,10.571428571428571,10.285714285714286,10.571428571428571,10.857142857142858,12.142857142857142,9.142857142857142,0,0,0,0,0,0,0,63.57142857142857,63.57142857142857,9.142857142857142,0,1,1,0.1438202247191011,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
PHILIPPI ELEMENTARY SCHOOL,002204,Elementary,elementary,403.875,62,68.125,67.1875,66.375,65,62.625,12.5625,0,0,0,0,0,0,0,403.875,403.875,12.5625,0,1,1,0.031104921,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Elementary
VOLGA CENTURY ELEMENTARY,002205,,elementary,48.85714285714285,0,6,8.142857142857142,8,9,10.142857142857142,7.571428571428571,0,0,0,0,0,0,0,48.85714285714285,48.85714285714285,7.571428571428571,0,1,1,0.1549707602339181,0,FALSE,TRUE,FALSE,elementary,elementary,no last_reported_type; inferred_grade_type=elementary (name: elementary)
BELINGTON MIDDLE SCHOOL,002302,Middle,middle,261.3125,0,0,0,0,0,0,51.25,69.8125,69.8125,70.4375,0,0,0,0,121.0625,261.3125,261.3125,0,0.4632862951447022,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
PHILIPPI MIDDLE SCHOOL,002303,Middle,middle,288,0,0,0,0,0,0,53.5,76.5625,78.75,79.1875,0,0,0,0,130.0625,288,288,0,0.4516059027777778,1,1,0,TRUE,FALSE,FALSE,middle,middle,last_reported=Middle
PHILIP BARBOUR HIGH SCHOOL COMPLEX,002501,Secondary,high,649.1875,4.5,0,0,0,0,0,0,0,0,0,168.5,164.75,158.25,153.1875,4.5,4.5,0,644.6875,0.006931742,0.006931742,0,0.993068258,FALSE,TRUE,TRUE,high,high,last_reported=Secondary
BACK CREEK VALLEY ELEMENTARY SCHOOL,004201,Primary,elementary,153.625,27.1875,41.1875,42.6875,42.5625,0,0,0,0,0,0,0,0,0,0,153.625,153.625,0,0,1,1,0,0,FALSE,TRUE,FALSE,elementary,elementary,last_reported=Primary
