school_year,school_year_start,school_year_end,district,district_code,school,school_norm,school_code,school_id,panel_school_id,grad_4yr_cohort_members,grad_4yr_graduates,grad_4yr_graduation_rate,grad_4yr_graduation_rate_male,grad_4yr_graduation_rate_female,grad_4yr_graduation_rate_white,grad_4yr_graduation_rate_black,grad_4yr_graduation_rate_hispanic,grad_4yr_graduation_rate_asian,grad_4yr_graduation_rate_indian,grad_4yr_graduation_rate_multi_racial,grad_4yr_graduation_rate_pacific_islander,grad_4yr_graduation_rate_ell,grad_4yr_graduation_rate_spec_ed,grad_4yr_graduation_rate_low_ses,grad_4yr_graduation_rate_military_connected,grad_4yr_graduation_rate_homeless,grad_4yr_graduation_rate_foster_care,grad_5yr_cohort_members,grad_5yr_graduates,grad_5yr_graduation_rate,grad_5yr_graduation_rate_male,grad_5yr_graduation_rate_female,grad_5yr_graduation_rate_white,grad_5yr_graduation_rate_black,grad_5yr_graduation_rate_hispanic,grad_5yr_graduation_rate_asian,grad_5yr_graduation_rate_indian,grad_5yr_graduation_rate_multi_racial,grad_5yr_graduation_rate_pacific_islander,grad_5yr_graduation_rate_ell,grad_5yr_graduation_rate_spec_ed,grad_5yr_graduation_rate_low_ses,grad_5yr_graduation_rate_military_connected,grad_5yr_graduation_rate_homeless,grad_5yr_graduation_rate_foster_care,source_file_grad_4yr,source_sheet_grad_4yr,source_file_grad_5yr,source_sheet_grad_5yr
2016-2017,2016,2017,Barbour,2,Philip Barbour High School Complex,philip barbour high school complex,501,2501,schoolid_2501,172,157,0.9128000000000001,0.9079999999999999,0.9176000000000001,0.9129999999999999,0.6667000000000001,1.0,,,1.0,,,0.7742,0.9181,,,,162,146,0.9012,0.8556,0.9582999999999999,0.8993000000000001,1.0,1.0,1.0,1.0,0.8,,,0.8966,0.8845999999999999,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Berkeley,4,Hedgesville High School,hedgesville high school,501,4501,schoolid_4501,273,255,0.9340999999999999,0.8832,0.9853000000000001,0.9398000000000001,0.9118,0.9375,0.0,1.0,1.0,1.0,,0.7188,0.8896,,,,261,234,0.8966,0.8898,0.903,0.9063,0.8,0.8332999999999999,1.0,,1.0,,,0.7027,0.8692,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Berkeley,4,Martinsburg High School,martinsburg high school,502,4502,schoolid_4502,346,309,0.8931,0.8774,0.9057999999999999,0.8884000000000001,0.9296,0.9655,1.0,,0.6842,1.0,,0.7895,0.8528,,,,287,261,0.9094,0.8732,0.9448000000000001,0.914,0.8983,0.9118,1.0,,0.75,,,0.8158,0.8976999999999999,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Berkeley,4,Musselman High School,musselman high school,503,4503,schoolid_4503,365,358,0.9808,0.9787,0.9831,0.9781,1.0,1.0,1.0,,1.0,,,0.95,0.9743999999999999,,,,325,318,0.9784999999999999,0.9818000000000001,0.975,0.9783,1.0,0.9473999999999999,,1.0,1.0,,,0.9211,0.986,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Berkeley,4,Spring Mills High School,spring mills high school,504,4504,schoolid_4504,302,289,0.9570000000000001,0.9484,0.966,0.9481999999999999,1.0,1.0,1.0,,1.0,,,0.9429000000000001,0.9247,,,,266,243,0.9135,0.88,0.9433,0.9083,1.0,0.8125,1.0,1.0,1.0,,,0.7837999999999999,0.875,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Boone,6,Scott High School,scott high school,501,6501,schoolid_6501,166,145,0.8734999999999999,0.875,0.8718,0.8726999999999999,1.0,,,,,,,0.7391,0.8734999999999999,,,,156,138,0.8845999999999999,0.8764,0.8955,0.8824,1.0,1.0,,1.0,,,,0.6552,0.8101,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Boone,6,Sherman High School,sherman high school,502,6502,schoolid_6502,94,86,0.9148999999999999,0.9388,0.8889,0.914,1.0,,,,,,,0.7222,0.9148999999999999,,,,90,82,0.9111,0.9412,0.8718,0.9111,,,,,,,,0.8181999999999999,0.8723000000000001,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Boone,6,Van Junior/Senior High School,van junior/senior high school,503,6503,schoolid_6503,37,31,0.8378,0.7333,0.9091,0.8378,,,,,,,,0.6,0.8378,,,,28,22,0.7857,0.8125,0.75,0.8148000000000001,0.0,,,,,,,0.4,0.7368000000000001,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Braxton,8,Braxton County High School,braxton county high school,501,8501,schoolid_8501,151,136,0.9007,0.8809999999999999,0.9254000000000001,0.9007,,,,,,,,0.7308,0.9007,,,,158,137,0.8671,0.8029999999999999,0.9129999999999999,0.8636,1.0,,1.0,,1.0,,,0.5417000000000001,0.8161,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Brooke,10,Brooke High School,brooke high school,502,10502,schoolid_10502,223,205,0.9193000000000001,0.9135,0.9244,0.9174,,,,,1.0,,,0.8462000000000001,0.9269,,,,235,219,0.9319,0.9091,0.9520000000000001,0.9414,0.8332999999999999,1.0,0.5,,0.75,,,0.7436,0.9231,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Cabell,12,Cabell Midland High School,cabell midland high school,550,12550,schoolid_12550,470,419,0.8915000000000001,0.8484999999999999,0.9331,0.8916,1.0,0.6667000000000001,1.0,,1.0,,,0.7593000000000001,0.8908,,,,476,426,0.895,0.865,0.9247,0.8935,1.0,0.8,1.0,,1.0,,,0.7646999999999999,0.8623999999999999,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Cabell,12,Huntington High School,huntington high school,560,12560,schoolid_12560,422,313,0.7417,0.6804000000000001,0.8079000000000001,0.7359,0.8,0.75,,,0.6923,,,0.6324000000000001,0.7429000000000001,,,,403,314,0.7792,0.7653,0.7947,0.777,0.7968999999999999,0.7143,0.6,1.0,0.8,,,0.7,0.755,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Calhoun,14,Calhoun Middle/High School,calhoun middle/high school,501,14501,schoolid_14501,63,59,0.9365000000000001,0.9355,0.9375,0.9365000000000001,,,,,,,,0.9,0.9365000000000001,,,,77,73,0.9481,0.9512,0.9444,0.9473999999999999,,,,,1.0,,,1.0,0.92,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
2016-2017,2016,2017,Clay,16,Clay County High School,clay county high school,501,16501,schoolid_16501,131,117,0.8931,0.8833,0.9014,0.9,0.0,,,,,,,0.7857,0.8931,,,,130,118,0.9077,0.9403,0.873,0.9077,,,,,,,,0.7273000000000001,0.8718,,,,HistoricalCohorts_GradRates.xlsx,2017 4-Year Cohort,HistoricalCohorts_GradRates.xlsx,2016 5-Year Cohort
