local_school_id,year,district_code,District,school_code,school_name,Enrollment,school_type,reported_type,inferred_type_from_grades,Pre-K,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2101,2026,2,Barbour,101,Kasson Elementary/Middle School,155.0,Middle,Middle,Middle,9.0,20.0,16.0,15.0,18.0,18.0,12.0,15.0,12.0,20.0,0.0,0.0,0.0,0.0
2201,2026,2,Barbour,201,Belington Elementary,280.0,Elementary,Elementary,Elementary,37.0,51.0,45.0,50.0,54.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202,2026,2,Barbour,202,Junior Elementary,111.0,Elementary,Elementary,Elementary,14.0,23.0,21.0,22.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2204,2026,2,Barbour,204,Philippi Elementary School,351.0,Elementary,Elementary,Elementary,58.0,65.0,53.0,60.0,62.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2302,2026,2,Barbour,302,Belington Middle School,257.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,65.0,59.0,65.0,68.0,0.0,0.0,0.0,0.0
2303,2026,2,Barbour,303,Philippi Middle School,239.0,Middle,Middle,Middle,0.0,0.0,0.0,0.0,0.0,0.0,72.0,47.0,63.0,57.0,0.0,0.0,0.0,0.0
2501,2026,2,Barbour,501,Philip Barbour High School Complex,514.0,Secondary,Secondary,Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,128.0,131.0,114.0
4201,2026,4,Berkeley,201,Back Creek Valley Elementary School,148.0,Primary,Primary,Primary,20.0,35.0,42.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202,2026,4,Berkeley,202,Bedington Elementary School,194.0,Primary,Primary,Primary,29.0,53.0,51.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4203,2026,4,Berkeley,203,Berkeley Heights Elementary School,600.0,Primary,Primary,Primary,178.0,147.0,145.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4204,2026,4,Berkeley,204,Bunker Hill Elementary,342.0,Primary,Primary,Primary,69.0,92.0,88.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4205,2026,4,Berkeley,205,Burke Street Elementary School,153.0,Primary,Primary,Primary,13.0,47.0,49.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4206,2026,4,Berkeley,206,Gerrardstown Elementary School,221.0,Primary,Primary,Primary,18.0,68.0,61.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4207,2026,4,Berkeley,207,Hedgesville Elementary School,653.0,Primary,Primary,Primary,77.0,207.0,199.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4208,2026,4,Berkeley,208,Inwood Primary School,164.0,Primary,Primary,Primary,35.0,45.0,35.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4209,2026,4,Berkeley,209,Marlowe Elementary School,293.0,Primary,Primary,Primary,95.0,65.0,59.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
