"District","Schl","School","Type_raw","Type_pipeline","Type_inferred","n_years_with_data","first_year_with_data","last_year_with_data","total_headcount_last","Schl_ID","start_year","end_year","flipped","closed","Consolidation_Summary","Closure_News_URL","Closure_News_URL2"
"Barbour","201","Belington Elementary","Elementary","Elementary","Elementary",16,2011,2026,280,"002201",2011,,FALSE,FALSE,,,
"Barbour","302","Belington Middle School","Middle","Middle","Middle",16,2011,2026,257,"002302",2011,,FALSE,FALSE,"Status: Approved <U+2014> closing end of 2025-26 | Consolidated into: Philip Barbour High School campus | New school name: Philip Barbour High School (grades 6-12)","https://www.wboy.com/news/education/wv-board-of-education-votes-to-close-consolidate-schools-in-3-local-counties/",
"Barbour","202","Junior Elementary","Elementary","Elementary","Elementary",16,2011,2026,111,"002202",2011,,FALSE,FALSE,"Status: Approved <U+2014> closing end of 2025-26 | Consolidated into: Belington Elementary School","https://www.wboy.com/news/education/wv-board-of-education-votes-to-close-consolidate-schools-in-3-local-counties/",
"Barbour","101","Kasson Elementary/Middle School","Middle","Elementary + Middle","Elementary + Middle",16,2011,2026,155,"002101",2011,,FALSE,FALSE,"Status: Approved <U+2014> closing end of 2025-26 | Consolidated into: Philip Barbour High School campus (grades 6-8 portion) | New school name: Philip Barbour High School (grades 6-12)","https://www.wboy.com/news/education/wv-board-of-education-votes-to-close-consolidate-schools-in-3-local-counties/",
"Barbour","203","Mount Vernon Elementary",,"Elementary","Elementary",7,2011,2017,49,"002203",2011,2017,FALSE,TRUE,"Status: Approved | Consolidated into: Philippi Elementary School","https://wvmetronews.com/2016/07/19/two-barbour-county-schools-to-close-following-2016-17-school-year/",
"Barbour","501","Philip Barbour High School Complex","Secondary","High School","High School",16,2011,2026,514,"002501",2011,,FALSE,FALSE,,,
"Barbour","204","Philippi Elementary School","Elementary","Elementary","Elementary",16,2011,2026,351,"002204",2011,,FALSE,FALSE,,,
"Barbour","303","Philippi Middle School","Middle","Middle","Middle",16,2011,2026,239,"002303",2011,,FALSE,FALSE,"Status: Approved <U+2014> closing end of 2025-26 | Consolidated into: Philip Barbour High School campus | New school name: Philip Barbour High School (grades 6-12)","https://www.wboy.com/news/education/wv-board-of-education-votes-to-close-consolidate-schools-in-3-local-counties/",
"Barbour","205","Volga Century Elementary",,"Elementary","Elementary",7,2011,2017,36,"002205",2011,2017,FALSE,TRUE,"Status: Approved | Consolidated into: Philippi Elementary School","https://wvmetronews.com/2016/07/19/two-barbour-county-schools-to-close-following-2016-17-school-year/",
"Berkeley","201","Back Creek Valley Elementary School","Primary","Elementary","Elementary",16,2011,2026,148,"004201",2011,,FALSE,FALSE,,,
"Berkeley","202","Bedington Elementary School","Primary","Elementary","Elementary",16,2011,2026,194,"004202",2011,,FALSE,FALSE,,,
"Berkeley","203","Berkeley Heights Elementary School","Primary","Elementary","Elementary",16,2011,2026,600,"004203",2011,,FALSE,FALSE,,,
"Berkeley","204","Bunker Hill Elementary","Primary","Elementary","Elementary",16,2011,2026,342,"004204",2011,,FALSE,FALSE,,,
"Berkeley","205","Burke Street Elementary School","Primary","Elementary","Elementary",16,2011,2026,153,"004205",2011,,FALSE,FALSE,,,
