year,county_name,fips,population,county
2011,Barbour County,54001,16600,Barbour
2012,Barbour County,54001,16869,Barbour
2013,Barbour County,54001,16871,Barbour
2014,Barbour County,54001,16902,Barbour
2016,"Barbour County, West Virginia",54001,16831,Barbour
2017,"Barbour County, West Virginia",54001,16497,Barbour
2018,"Barbour County, West Virginia",54001,16535,Barbour
2019,"Barbour County, West Virginia",54001,16441,Barbour
2020,"Barbour County, West Virginia",54001,15462,Barbour
2021,"Barbour County, West Virginia",54001,15447,Barbour
2022,"Barbour County, West Virginia",54001,15397,Barbour
2023,"Barbour County, West Virginia",54001,15443,Barbour
2024,"Barbour County, West Virginia",54001,15369,Barbour
2015,"Barbour County, West Virginia, South Atlantic, South, United States",54001,16704,Barbour
2011,Berkeley County,54003,105743,Berkeley
2012,Berkeley County,54003,106965,Berkeley
2013,Berkeley County,54003,108495,Berkeley
2014,Berkeley County,54003,110191,Berkeley
2016,"Berkeley County, West Virginia",54003,113525,Berkeley
2017,"Berkeley County, West Virginia",54003,114920,Berkeley
2018,"Berkeley County, West Virginia",54003,117123,Berkeley
2019,"Berkeley County, West Virginia",54003,119171,Berkeley
2020,"Berkeley County, West Virginia",54003,122699,Berkeley
2021,"Berkeley County, West Virginia",54003,126194,Berkeley
2022,"Berkeley County, West Virginia",54003,129538,Berkeley
2023,"Berkeley County, West Virginia",54003,132851,Berkeley
2024,"Berkeley County, West Virginia",54003,136287,Berkeley
2015,"Berkeley County, West Virginia, South Atlantic, South, United States",54003,111901,Berkeley
2011,Boone County,54005,24412,Boone
2012,Boone County,54005,24358,Boone
2013,Boone County,54005,24089,Boone
2014,Boone County,54005,23716,Boone
2016,"Boone County, West Virginia",54005,22816,Boone
2017,"Boone County, West Virginia",54005,22349,Boone
2018,"Boone County, West Virginia",54005,21951,Boone
2019,"Boone County, West Virginia",54005,21457,Boone
2020,"Boone County, West Virginia",54005,21746,Boone
2021,"Boone County, West Virginia",54005,21361,Boone
2022,"Boone County, West Virginia",54005,20925,Boone
2023,"Boone County, West Virginia",54005,20600,Boone
2024,"Boone County, West Virginia",54005,20496,Boone
2015,"Boone County, West Virginia, South Atlantic, South, United States",54005,23372,Boone
2011,Braxton County,54007,14535,Braxton
2012,Braxton County,54007,14451,Braxton
2013,Braxton County,54007,14385,Braxton
2014,Braxton County,54007,14405,Braxton
2016,"Braxton County, West Virginia",54007,14471,Braxton
2017,"Braxton County, West Virginia",54007,14237,Braxton
2018,"Braxton County, West Virginia",54007,14089,Braxton
2019,"Braxton County, West Virginia",54007,13957,Braxton
2020,"Braxton County, West Virginia",54007,12396,Braxton
2021,"Braxton County, West Virginia",54007,12297,Braxton
2022,"Braxton County, West Virginia",54007,12158,Braxton
2023,"Braxton County, West Virginia",54007,12139,Braxton
2024,"Braxton County, West Virginia",54007,12051,Braxton
2015,"Braxton County, West Virginia, South Atlantic, South, United States",54007,14415,Braxton
2011,Brooke County,54009,23814,Brooke
2012,Brooke County,54009,23677,Brooke
2013,Brooke County,54009,23589,Brooke
2014,Brooke County,54009,23368,Brooke
2016,"Brooke County, West Virginia",54009,22977,Brooke
2017,"Brooke County, West Virginia",54009,22443,Brooke
2018,"Brooke County, West Virginia",54009,22203,Brooke
2019,"Brooke County, West Virginia",54009,21939,Brooke
2020,"Brooke County, West Virginia",54009,22484,Brooke
2021,"Brooke County, West Virginia",54009,22080,Brooke
2022,"Brooke County, West Virginia",54009,21739,Brooke
2023,"Brooke County, West Virginia",54009,21438,Brooke
2024,"Brooke County, West Virginia",54009,21285,Brooke
2015,"Brooke County, West Virginia, South Atlantic, South, United States",54009,23350,Brooke
2011,Cabell County,54011,96612,Cabell
2012,Cabell County,54011,96949,Cabell
2013,Cabell County,54011,97026,Cabell
2014,Cabell County,54011,96639,Cabell
2016,"Cabell County, West Virginia",54011,95987,Cabell
2017,"Cabell County, West Virginia",54011,94958,Cabell
2018,"Cabell County, West Virginia",54011,93224,Cabell
2019,"Cabell County, West Virginia",54011,91945,Cabell
2020,"Cabell County, West Virginia",54011,94245,Cabell
2021,"Cabell County, West Virginia",54011,93422,Cabell
