year,county_name,fips,population
2016,"Barbour County, West Virginia",54001,16831
2017,"Barbour County, West Virginia",54001,16497
2018,"Barbour County, West Virginia",54001,16535
2019,"Barbour County, West Virginia",54001,16441
2020,"Barbour County, West Virginia",54001,15462
2021,"Barbour County, West Virginia",54001,15447
2022,"Barbour County, West Virginia",54001,15397
2023,"Barbour County, West Virginia",54001,15443
2024,"Barbour County, West Virginia",54001,15369
2015,"Barbour County, West Virginia, South Atlantic, South, United States",54001,16704
2016,"Berkeley County, West Virginia",54003,113525
2017,"Berkeley County, West Virginia",54003,114920
2018,"Berkeley County, West Virginia",54003,117123
2019,"Berkeley County, West Virginia",54003,119171
2020,"Berkeley County, West Virginia",54003,122699
2021,"Berkeley County, West Virginia",54003,126194
2022,"Berkeley County, West Virginia",54003,129538
2023,"Berkeley County, West Virginia",54003,132851
2024,"Berkeley County, West Virginia",54003,136287
2015,"Berkeley County, West Virginia, South Atlantic, South, United States",54003,111901
2016,"Boone County, West Virginia",54005,22816
2017,"Boone County, West Virginia",54005,22349
2018,"Boone County, West Virginia",54005,21951
2019,"Boone County, West Virginia",54005,21457
2020,"Boone County, West Virginia",54005,21746
2021,"Boone County, West Virginia",54005,21361
2022,"Boone County, West Virginia",54005,20925
2023,"Boone County, West Virginia",54005,20600
2024,"Boone County, West Virginia",54005,20496
2015,"Boone County, West Virginia, South Atlantic, South, United States",54005,23372
2016,"Braxton County, West Virginia",54007,14471
2017,"Braxton County, West Virginia",54007,14237
2018,"Braxton County, West Virginia",54007,14089
2019,"Braxton County, West Virginia",54007,13957
2020,"Braxton County, West Virginia",54007,12396
2021,"Braxton County, West Virginia",54007,12297
2022,"Braxton County, West Virginia",54007,12158
2023,"Braxton County, West Virginia",54007,12139
2024,"Braxton County, West Virginia",54007,12051
2015,"Braxton County, West Virginia, South Atlantic, South, United States",54007,14415
2016,"Brooke County, West Virginia",54009,22977
2017,"Brooke County, West Virginia",54009,22443
2018,"Brooke County, West Virginia",54009,22203
2019,"Brooke County, West Virginia",54009,21939
2020,"Brooke County, West Virginia",54009,22484
2021,"Brooke County, West Virginia",54009,22080
2022,"Brooke County, West Virginia",54009,21739
2023,"Brooke County, West Virginia",54009,21438
2024,"Brooke County, West Virginia",54009,21285
2015,"Brooke County, West Virginia, South Atlantic, South, United States",54009,23350
2016,"Cabell County, West Virginia",54011,95987
2017,"Cabell County, West Virginia",54011,94958
2018,"Cabell County, West Virginia",54011,93224
2019,"Cabell County, West Virginia",54011,91945
2020,"Cabell County, West Virginia",54011,94245
2021,"Cabell County, West Virginia",54011,93422
2022,"Cabell County, West Virginia",54011,92501
2023,"Cabell County, West Virginia",54011,92036
2024,"Cabell County, West Virginia",54011,91489
2015,"Cabell County, West Virginia, South Atlantic, South, United States",54011,96844
2016,"Calhoun County, West Virginia",54013,7336
2017,"Calhoun County, West Virginia",54013,7307
2018,"Calhoun County, West Virginia",54013,7254
2019,"Calhoun County, West Virginia",54013,7109
2020,"Calhoun County, West Virginia",54013,6196
2021,"Calhoun County, West Virginia",54013,6172
2022,"Calhoun County, West Virginia",54013,6056
2023,"Calhoun County, West Virginia",54013,5945
2024,"Calhoun County, West Virginia",54013,5873
2015,"Calhoun County, West Virginia, South Atlantic, South, United States",54013,7470
2016,"Clay County, West Virginia",54015,8859
2017,"Clay County, West Virginia",54015,8764
2018,"Clay County, West Virginia",54015,8632
2019,"Clay County, West Virginia",54015,8508
2020,"Clay County, West Virginia",54015,8013
2021,"Clay County, West Virginia",54015,7914
2022,"Clay County, West Virginia",54015,7819
2023,"Clay County, West Virginia",54015,7740
2024,"Clay County, West Virginia",54015,7689
2015,"Clay County, West Virginia, South Atlantic, South, United States",54015,8910
2016,"Doddridge County, West Virginia",54017,8413
2017,"Doddridge County, West Virginia",54017,8560
2018,"Doddridge County, West Virginia",54017,8406
2019,"Doddridge County, West Virginia",54017,8448
2020,"Doddridge County, West Virginia",54017,7790
2021,"Doddridge County, West Virginia",54017,7745
2022,"Doddridge County, West Virginia",54017,7719
2023,"Doddridge County, West Virginia",54017,7685
2024,"Doddridge County, West Virginia",54017,7615
2015,"Doddridge County, West Virginia, South Atlantic, South, United States",54017,8176
2016,"Fayette County, West Virginia",54019,44323
2017,"Fayette County, West Virginia",54019,43521
2018,"Fayette County, West Virginia",54019,43018
2019,"Fayette County, West Virginia",54019,42406
2020,"Fayette County, West Virginia",54019,40445
2021,"Fayette County, West Virginia",54019,40059
2022,"Fayette County, West Virginia",54019,39411
2023,"Fayette County, West Virginia",54019,39079
2024,"Fayette County, West Virginia",54019,38600
2015,"Fayette County, West Virginia, South Atlantic, South, United States",54019,44997
2016,"Gilmer County, West Virginia",54021,8249
2017,"Gilmer County, West Virginia",54021,8005
2018,"Gilmer County, West Virginia",54021,8026
2019,"Gilmer County, West Virginia",54021,7823
2020,"Gilmer County, West Virginia",54021,7399
2021,"Gilmer County, West Virginia",54021,7396
2022,"Gilmer County, West Virginia",54021,7309
2023,"Gilmer County, West Virginia",54021,7221
2024,"Gilmer County, West Virginia",54021,7116
2015,"Gilmer County, West Virginia, South Atlantic, South, United States",54021,8518
2016,"Grant County, West Virginia",54023,11732
2017,"Grant County, West Virginia",54023,11670
2018,"Grant County, West Virginia",54023,11626
2019,"Grant County, West Virginia",54023,11568
2020,"Grant County, West Virginia",54023,10995
2021,"Grant County, West Virginia",54023,10998
2022,"Grant County, West Virginia",54023,10965
2023,"Grant County, West Virginia",54023,10985
2024,"Grant County, West Virginia",54023,10971
2015,"Grant County, West Virginia, South Atlantic, South, United States",54023,11766
2016,"Greenbrier County, West Virginia",54025,35279
2017,"Greenbrier County, West Virginia",54025,35287
