year,county_name,fips,school_age_pop,school_age_moe,county
2011,"Barbour County, West Virginia",54001,2633,221.934675073545,Barbour
2012,"Barbour County, West Virginia",54001,2687,206.03397778036515,Barbour
2013,"Barbour County, West Virginia",54001,2683,224.98888861452693,Barbour
2014,"Barbour County, West Virginia",54001,2643,207.12797976130602,Barbour
2015,"Barbour County, West Virginia",54001,2633,229.9891301779282,Barbour
2016,"Barbour County, West Virginia",54001,2573,217.29242968865714,Barbour
2017,"Barbour County, West Virginia",54001,2496,195.8187937865005,Barbour
2018,"Barbour County, West Virginia",54001,2495,190.90049764209627,Barbour
2019,"Barbour County, West Virginia",54001,2479,215.24869337582516,Barbour
2020,"Barbour County, West Virginia",54001,2400,222.90132345950752,Barbour
2021,"Barbour County, West Virginia",54001,2408,221.7859328271295,Barbour
2022,"Barbour County, West Virginia",54001,2382,241.4932711277894,Barbour
2023,"Barbour County, West Virginia",54001,2374,214.79757912974716,Barbour
2024,"Barbour County, West Virginia",54001,2335,207.7666960800022,Barbour
2011,"Berkeley County, West Virginia",54003,18769,645.0968919472485,Berkeley
2012,"Berkeley County, West Virginia",54003,18999,651.4276629066346,Berkeley
2013,"Berkeley County, West Virginia",54003,19230,708.919600518987,Berkeley
2014,"Berkeley County, West Virginia",54003,19327,665.9346814815999,Berkeley
2015,"Berkeley County, West Virginia",54003,19520,656.2895702355783,Berkeley
2016,"Berkeley County, West Virginia",54003,19673,732.9761251227765,Berkeley
2017,"Berkeley County, West Virginia",54003,19793,702.8627177479256,Berkeley
2018,"Berkeley County, West Virginia",54003,19904,697.296923842347,Berkeley
2019,"Berkeley County, West Virginia",54003,19983,715.2614906452045,Berkeley
2020,"Berkeley County, West Virginia",54003,20086,782.807128225082,Berkeley
2021,"Berkeley County, West Virginia",54003,20706,839.6612412157656,Berkeley
2022,"Berkeley County, West Virginia",54003,20871,783.3326241131541,Berkeley
2023,"Berkeley County, West Virginia",54003,21581,863.3463962975695,Berkeley
2024,"Berkeley County, West Virginia",54003,22040,813.5041487294334,Berkeley
2011,"Boone County, West Virginia",54005,4091,257.79061270729,Boone
2012,"Boone County, West Virginia",54005,4076,220.21126220064224,Boone
2013,"Boone County, West Virginia",54005,4075,245.58501582954935,Boone
2014,"Boone County, West Virginia",54005,4044,251.02191139420478,Boone
2015,"Boone County, West Virginia",54005,4018,225.77865266672134,Boone
2016,"Boone County, West Virginia",54005,3934,247.22054930769812,Boone
2017,"Boone County, West Virginia",54005,3876,265.4882294942659,Boone
2018,"Boone County, West Virginia",54005,3782,250.75685434300695,Boone
2019,"Boone County, West Virginia",54005,3710,240.2540322242272,Boone
2020,"Boone County, West Virginia",54005,3588,288.06943607401325,Boone
2021,"Boone County, West Virginia",54005,3611,294.2023113437418,Boone
2022,"Boone County, West Virginia",54005,3448,286.4349838968697,Boone
2023,"Boone County, West Virginia",54005,3356,227.78059618852524,Boone
2024,"Boone County, West Virginia",54005,3261,253.56261554101386,Boone
2011,"Braxton County, West Virginia",54007,2210,216.58716490133943,Braxton
2012,"Braxton County, West Virginia",54007,2177,232.5811686272128,Braxton
2013,"Braxton County, West Virginia",54007,2145,202.56850693037157,Braxton
2014,"Braxton County, West Virginia",54007,2164,186.38401218988716,Braxton
2015,"Braxton County, West Virginia",54007,2184,195.0717816599828,Braxton
2016,"Braxton County, West Virginia",54007,2160,219.934081033386,Braxton
2017,"Braxton County, West Virginia",54007,2133,189.76301009416983,Braxton
2018,"Braxton County, West Virginia",54007,2122,171.56922801015338,Braxton
2019,"Braxton County, West Virginia",54007,2063,204.2865634347986,Braxton
2020,"Braxton County, West Virginia",54007,2085,220.4495407117012,Braxton
2021,"Braxton County, West Virginia",54007,1902,211.7144303064862,Braxton
2022,"Braxton County, West Virginia",54007,1836,218.1329869597902,Braxton
2023,"Braxton County, West Virginia",54007,1792,181.8240908130713,Braxton
2024,"Braxton County, West Virginia",54007,1761,169.95293466133498,Braxton
2011,"Brooke County, West Virginia",54009,3444,256.60865145197266,Brooke
2012,"Brooke County, West Virginia",54009,3379,225.6634662500778,Brooke
2013,"Brooke County, West Virginia",54009,3406,224.4147945212169,Brooke
2014,"Brooke County, West Virginia",54009,3390,231.89006015782564,Brooke
2015,"Brooke County, West Virginia",54009,3355,235.53980555311665,Brooke
2016,"Brooke County, West Virginia",54009,3273,224.71092541307377,Brooke
2017,"Brooke County, West Virginia",54009,3197,254.7959968288356,Brooke
2018,"Brooke County, West Virginia",54009,3101,246.39602269517258,Brooke
2019,"Brooke County, West Virginia",54009,2953,250.3697266044759,Brooke
2020,"Brooke County, West Virginia",54009,2889,238.67760682560902,Brooke
2021,"Brooke County, West Virginia",54009,2985,274.7125770691979,Brooke
2022,"Brooke County, West Virginia",54009,2967,278.8368698719737,Brooke
2023,"Brooke County, West Virginia",54009,2893,251.2548506994442,Brooke
2024,"Brooke County, West Virginia",54009,2855,219.18485349129398,Brooke
2011,"Cabell County, West Virginia",54011,13264,538.0455371062936,Cabell
2012,"Cabell County, West Virginia",54011,13256,480.3550770003373,Cabell
2013,"Cabell County, West Virginia",54011,13409,501.01896171701924,Cabell
2014,"Cabell County, West Virginia",54011,13558,505.00198019413745,Cabell
2015,"Cabell County, West Virginia",54011,13604,517.3132513284384,Cabell
2016,"Cabell County, West Virginia",54011,13605,525.151406739047,Cabell
2017,"Cabell County, West Virginia",54011,13578,559.4095101086502,Cabell
2018,"Cabell County, West Virginia",54011,13505,503.3219645515185,Cabell
2019,"Cabell County, West Virginia",54011,13406,550.1672472984919,Cabell
2020,"Cabell County, West Virginia",54011,13188,618.177967902448,Cabell
2021,"Cabell County, West Virginia",54011,13755,685.4254153443685,Cabell
2022,"Cabell County, West Virginia",54011,13450,653.8180174941648,Cabell
2023,"Cabell County, West Virginia",54011,13527,560.4453586211595,Cabell
2024,"Cabell County, West Virginia",54011,13533,623.9262776963317,Cabell
2011,"Calhoun County, West Virginia",54013,1098,120.49066353871572,Calhoun
2012,"Calhoun County, West Virginia",54013,1100,150.6286825275983,Calhoun
2013,"Calhoun County, West Virginia",54013,1097,142.31303524273522,Calhoun
2014,"Calhoun County, West Virginia",54013,1092,143.6697602141801,Calhoun
2015,"Calhoun County, West Virginia",54013,1202,172.29915844251823,Calhoun
2016,"Calhoun County, West Virginia",54013,1078,158.18343781824947,Calhoun
2017,"Calhoun County, West Virginia",54013,1069,154.5833108715168,Calhoun
2018,"Calhoun County, West Virginia",54013,1120,161.5456591803073,Calhoun
2019,"Calhoun County, West Virginia",54013,1085,172.35138525698017,Calhoun
2020,"Calhoun County, West Virginia",54013,1008,180.77610461562668,Calhoun
2021,"Calhoun County, West Virginia",54013,919,156.7801007781281,Calhoun
2022,"Calhoun County, West Virginia",54013,932,164.03962935827428,Calhoun
2023,"Calhoun County, West Virginia",54013,922,150.98675438593943,Calhoun
2024,"Calhoun County, West Virginia",54013,892,155.3415591527264,Calhoun
2011,"Clay County, West Virginia",54015,1719,220.40190561789615,Clay
2012,"Clay County, West Virginia",54015,1691,141.4602417642498,Clay
2013,"Clay County, West Virginia",54015,1606,140.57026712644463,Clay
2014,"Clay County, West Virginia",54015,1572,154.0519392932137,Clay
2015,"Clay County, West Virginia",54015,1531,142.86707108357754,Clay
2016,"Clay County, West Virginia",54015,1548,170.52565789346775,Clay
2017,"Clay County, West Virginia",54015,1520,177.17787672280082,Clay
2018,"Clay County, West Virginia",54015,1486,200.124960961895,Clay
2019,"Clay County, West Virginia",54015,1469,182.68004817165996,Clay
2020,"Clay County, West Virginia",54015,1445,217.13129668474787,Clay
