year,county_name,fips,school_age_pop_pep,county
2011,Barbour County,54001,2642,Barbour
2012,Barbour County,54001,2627,Barbour
2013,Barbour County,54001,2602,Barbour
2014,Barbour County,54001,2595,Barbour
2015,Barbour County,54001,2582,Barbour
2016,Barbour County,54001,2522,Barbour
2017,Barbour County,54001,2431,Barbour
2018,Barbour County,54001,2434,Barbour
2019,Barbour County,54001,2418,Barbour
2020,Barbour County,54001,2325,Barbour
2021,Barbour County,54001,2366,Barbour
2022,Barbour County,54001,2429,Barbour
2023,Barbour County,54001,2418,Barbour
2024,Barbour County,54001,2355,Barbour
2025,Barbour County,54001,2353,Barbour
2011,Berkeley County,54003,19134,Berkeley
2012,Berkeley County,54003,19317,Berkeley
2013,Berkeley County,54003,19447,Berkeley
2014,Berkeley County,54003,19713,Berkeley
2015,Berkeley County,54003,19663,Berkeley
2016,Berkeley County,54003,19858,Berkeley
2017,Berkeley County,54003,19929,Berkeley
2018,Berkeley County,54003,20057,Berkeley
2019,Berkeley County,54003,20188,Berkeley
2020,Berkeley County,54003,21293,Berkeley
2021,Berkeley County,54003,21753,Berkeley
2022,Berkeley County,54003,22362,Berkeley
2023,Berkeley County,54003,22822,Berkeley
2024,Berkeley County,54003,23095,Berkeley
2025,Berkeley County,54003,23323,Berkeley
2011,Boone County,54005,4066,Boone
2012,Boone County,54005,4090,Boone
2013,Boone County,54005,4043,Boone
2014,Boone County,54005,3945,Boone
2015,Boone County,54005,3875,Boone
2016,Boone County,54005,3778,Boone
2017,Boone County,54005,3680,Boone
2018,Boone County,54005,3567,Boone
2019,Boone County,54005,3374,Boone
2020,Boone County,54005,3515,Boone
2021,Boone County,54005,3404,Boone
2022,Boone County,54005,3291,Boone
2023,Boone County,54005,3243,Boone
2024,Boone County,54005,3209,Boone
2025,Boone County,54005,3121,Boone
2011,Braxton County,54007,2178,Braxton
2012,Braxton County,54007,2121,Braxton
2013,Braxton County,54007,2124,Braxton
2014,Braxton County,54007,2122,Braxton
2015,Braxton County,54007,2084,Braxton
2016,Braxton County,54007,2102,Braxton
2017,Braxton County,54007,2069,Braxton
2018,Braxton County,54007,2029,Braxton
2019,Braxton County,54007,2008,Braxton
2020,Braxton County,54007,1808,Braxton
2021,Braxton County,54007,1780,Braxton
2022,Braxton County,54007,1738,Braxton
2023,Braxton County,54007,1742,Braxton
2024,Braxton County,54007,1725,Braxton
2025,Braxton County,54007,1650,Braxton
2011,Brooke County,54009,3448,Brooke
2012,Brooke County,54009,3357,Brooke
2013,Brooke County,54009,3375,Brooke
2014,Brooke County,54009,3260,Brooke
2015,Brooke County,54009,3193,Brooke
2016,Brooke County,54009,3070,Brooke
2017,Brooke County,54009,2998,Brooke
2018,Brooke County,54009,2952,Brooke
2019,Brooke County,54009,2805,Brooke
2020,Brooke County,54009,3006,Brooke
2021,Brooke County,54009,2910,Brooke
2022,Brooke County,54009,2850,Brooke
2023,Brooke County,54009,2753,Brooke
2024,Brooke County,54009,2717,Brooke
2025,Brooke County,54009,2640,Brooke
2011,Cabell County,54011,13403,Cabell
2012,Cabell County,54011,13577,Cabell
2013,Cabell County,54011,13513,Cabell
2014,Cabell County,54011,13639,Cabell
2015,Cabell County,54011,13758,Cabell
2016,Cabell County,54011,13612,Cabell
2017,Cabell County,54011,13471,Cabell
2018,Cabell County,54011,13387,Cabell
2019,Cabell County,54011,13132,Cabell
2020,Cabell County,54011,13376,Cabell
2021,Cabell County,54011,13235,Cabell
2022,Cabell County,54011,13082,Cabell
2023,Cabell County,54011,13176,Cabell
2024,Cabell County,54011,13111,Cabell
2025,Cabell County,54011,12974,Cabell
2011,Calhoun County,54013,1103,Calhoun
2012,Calhoun County,54013,1110,Calhoun
2013,Calhoun County,54013,1090,Calhoun
2014,Calhoun County,54013,1056,Calhoun
2015,Calhoun County,54013,1043,Calhoun
2016,Calhoun County,54013,1029,Calhoun
2017,Calhoun County,54013,1041,Calhoun
2018,Calhoun County,54013,1018,Calhoun
2019,Calhoun County,54013,981,Calhoun
2020,Calhoun County,54013,925,Calhoun
2021,Calhoun County,54013,937,Calhoun
2022,Calhoun County,54013,904,Calhoun
2023,Calhoun County,54013,885,Calhoun
2024,Calhoun County,54013,858,Calhoun
2025,Calhoun County,54013,871,Calhoun
2011,Clay County,54015,1651,Clay
2012,Clay County,54015,1580,Clay
2013,Clay County,54015,1575,Clay
2014,Clay County,54015,1515,Clay
2015,Clay County,54015,1522,Clay
2016,Clay County,54015,1486,Clay
2017,Clay County,54015,1480,Clay
2018,Clay County,54015,1433,Clay
2019,Clay County,54015,1431,Clay
2020,Clay County,54015,1367,Clay
2021,Clay County,54015,1349,Clay
2022,Clay County,54015,1308,Clay
2023,Clay County,54015,1296,Clay
2024,Clay County,54015,1280,Clay
2025,Clay County,54015,1233,Clay
2011,Doddridge County,54017,1221,Doddridge
2012,Doddridge County,54017,1229,Doddridge
2013,Doddridge County,54017,1224,Doddridge
2014,Doddridge County,54017,1162,Doddridge
2015,Doddridge County,54017,1147,Doddridge
2016,Doddridge County,54017,1109,Doddridge
2017,Doddridge County,54017,1069,Doddridge
2018,Doddridge County,54017,989,Doddridge
2019,Doddridge County,54017,950,Doddridge
2020,Doddridge County,54017,1047,Doddridge
2021,Doddridge County,54017,1032,Doddridge
2022,Doddridge County,54017,1024,Doddridge
2023,Doddridge County,54017,997,Doddridge
2024,Doddridge County,54017,986,Doddridge
2025,Doddridge County,54017,972,Doddridge
2011,Fayette County,54019,6786,Fayette
2012,Fayette County,54019,6855,Fayette
2013,Fayette County,54019,6780,Fayette
2014,Fayette County,54019,6692,Fayette
2015,Fayette County,54019,6592,Fayette
2016,Fayette County,54019,6555,Fayette
2017,Fayette County,54019,6551,Fayette
2018,Fayette County,54019,6623,Fayette
2019,Fayette County,54019,6537,Fayette
2020,Fayette County,54019,6455,Fayette
2021,Fayette County,54019,6350,Fayette
2022,Fayette County,54019,6234,Fayette
2023,Fayette County,54019,6107,Fayette
2024,Fayette County,54019,5938,Fayette
2025,Fayette County,54019,5809,Fayette
2011,Gilmer County,54021,913,Gilmer
2012,Gilmer County,54021,901,Gilmer
2013,Gilmer County,54021,888,Gilmer
2014,Gilmer County,54021,871,Gilmer
2015,Gilmer County,54021,849,Gilmer
2016,Gilmer County,54021,854,Gilmer
2017,Gilmer County,54021,845,Gilmer
2018,Gilmer County,54021,857,Gilmer
2019,Gilmer County,54021,845,Gilmer
2020,Gilmer County,54021,865,Gilmer
2021,Gilmer County,54021,877,Gilmer
2022,Gilmer County,54021,888,Gilmer
2023,Gilmer County,54021,864,Gilmer
2024,Gilmer County,54021,826,Gilmer
2025,Gilmer County,54021,823,Gilmer
2011,Grant County,54023,1839,Grant
2012,Grant County,54023,1798,Grant
2013,Grant County,54023,1765,Grant
2014,Grant County,54023,1734,Grant
2015,Grant County,54023,1728,Grant
2016,Grant County,54023,1677,Grant
2017,Grant County,54023,1637,Grant
2018,Grant County,54023,1613,Grant
2019,Grant County,54023,1600,Grant
2020,Grant County,54023,1535,Grant
2021,Grant County,54023,1532,Grant
2022,Grant County,54023,1535,Grant
2023,Grant County,54023,1562,Grant
2024,Grant County,54023,1550,Grant
2025,Grant County,54023,1581,Grant
2011,Greenbrier County,54025,5246,Greenbrier
2012,Greenbrier County,54025,5224,Greenbrier
2013,Greenbrier County,54025,5197,Greenbrier
2014,Greenbrier County,54025,5136,Greenbrier
2015,Greenbrier County,54025,5147,Greenbrier
2016,Greenbrier County,54025,5094,Greenbrier
2017,Greenbrier County,54025,5096,Greenbrier
2018,Greenbrier County,54025,4949,Greenbrier
2019,Greenbrier County,54025,4979,Greenbrier
2020,Greenbrier County,54025,4748,Greenbrier
2021,Greenbrier County,54025,4665,Greenbrier
2022,Greenbrier County,54025,4643,Greenbrier
2023,Greenbrier County,54025,4643,Greenbrier
2024,Greenbrier County,54025,4552,Greenbrier
2025,Greenbrier County,54025,4447,Greenbrier
2011,Hampshire County,54027,3987,Hampshire
2012,Hampshire County,54027,3886,Hampshire
2013,Hampshire County,54027,3721,Hampshire
2014,Hampshire County,54027,3614,Hampshire
